timestamp(ms),Moisture,
"1717686086.213","475",
"1717686086.313","473",
"1717686086.413","475",
"1717686086.513","474",
"1717686086.613","474",
"1717686086.712","474",
"1717686086.813","475",
"1717686086.912","473",
"1717686087.012","475",
"1717686087.113","474",
"1717686087.212","475",
"1717686087.313","477",
"1717686087.412","476",
"1717686087.513","476",
"1717686087.613","476",
"1717686087.713","476",
"1717686087.813","475",
"1717686087.913","475",
"1717686088.012","476",
"1717686088.113","475",
"1717686088.212","475",
"1717686088.313","475",
"1717686088.413","475",
"1717686088.513","475",
"1717686088.613","475",
"1717686088.713","475",
"1717686088.813","475",
"1717686088.913","476",
"1717686089.013","476",
"1717686089.113","475",
"1717686089.213","476",
"1717686089.313","476",
"1717686089.413","476",
"1717686089.513","476",
"1717686089.613","477",
"1717686089.713","475",
"1717686089.813","475",
"1717686089.912","476",
"1717686090.013","476",
"1717686090.138","476",
"1717686090.213","474",
"1717686090.312","475",
"1717686090.413","476",
"1717686090.513","476",
"1717686090.613","476",
"1717686090.713","475",
"1717686090.813","476",
"1717686090.913","477",
"1717686091.013","476",
"1717686091.112","477",
"1717686091.212","477",
"1717686091.313","476",
"1717686091.413","477",
"1717686091.513","480",
"1717686091.613","478",
"1717686091.713","477",
"1717686091.813","476",
"1717686091.913","476",
"1717686092.013","477",
"1717686092.112","476",
"1717686092.213","477",
"1717686092.313","478",
"1717686092.413","478",
"1717686092.513","477",
"1717686092.613","476",
"1717686092.713","477",
"1717686092.813","478",
"1717686092.913","475",
"1717686093.013","478",
"1717686093.113","478",
"1717686093.213","478",
"1717686093.313","478",
"1717686093.413","477",
"1717686093.513","478",
"1717686093.613","477",
"1717686093.713","474",
"1717686093.812","477",
"1717686093.913","478",
"1717686094.012","478",
"1717686094.113","479",
"1717686094.213","477",
"1717686094.313","478",
"1717686094.412","478",
"1717686094.513","478",
"1717686094.613","479",
"1717686094.713","479",
"1717686094.813","478",
"1717686094.913","478",
"1717686095.013","478",
"1717686095.113","478",
"1717686095.213","478",
"1717686095.313","479",
"1717686095.412","478",
"1717686095.513","478",
"1717686095.613","478",
"1717686095.713","478",
"1717686095.813","478",
"1717686095.913","479",
"1717686096.013","479",
"1717686096.112","479",
"1717686096.213","479",
"1717686096.313","478",
"1717686096.413","476",
"1717686096.512","478",
"1717686096.613","480",
"1717686096.712","480",
"1717686096.813","480",
"1717686096.913","479",
"1717686097.013","478",
"1717686097.113","477",
"1717686097.213","479",
"1717686097.313","479",
"1717686097.413","480",
"1717686097.513","478",
"1717686097.613","479",
"1717686097.712","480",
"1717686097.813","478",
"1717686097.913","478",
"1717686098.013","479",
"1717686098.113","478",
"1717686098.213","483",
"1717686098.313","479",
"1717686098.412","482",
"1717686098.512","482",
"1717686098.613","477",
"1717686098.713","480",
"1717686098.813","480",
"1717686098.913","480",
"1717686099.013","480",
"1717686099.112","480",
"1717686099.213","480",
"1717686099.313","480",
"1717686099.413","480",
"1717686099.513","479",
"1717686099.613","479",
"1717686099.713","480",
"1717686099.812","481",
"1717686099.913","480",
"1717686100.013","478",
"1717686100.113","479",
"1717686100.213","480",
"1717686100.313","481",
"1717686100.412","480",
"1717686100.513","480",
"1717686100.613","480",
"1717686100.713","480",
"1717686100.813","481",
"1717686100.913","480",
"1717686101.013","480",
"1717686101.113","480",
"1717686101.213","480",
"1717686101.313","477",
"1717686101.413","480",
"1717686101.513","479",
"1717686101.613","480",
"1717686101.713","479",
"1717686101.813","477",
"1717686101.913","480",
"1717686102.013","481",
"1717686102.113","481",
"1717686102.213","481",
"1717686102.313","480",
"1717686102.413","480",
"1717686102.513","481",
"1717686102.613","479",
"1717686102.713","481",
"1717686102.813","481",
"1717686102.913","482",
"1717686103.013","480",
"1717686103.112","480",
"1717686103.213","481",
"1717686103.313","480",
"1717686103.413","484",
"1717686103.513","481",
"1717686103.613","480",
"1717686103.713","480",
"1717686103.813","481",
"1717686103.913","481",
"1717686104.012","482",
"1717686104.112","482",
"1717686104.213","481",
"1717686104.313","481",
"1717686104.413","479",
"1717686104.513","482",
"1717686104.613","482",
"1717686104.713","481",
"1717686104.813","481",
"1717686104.913","482",
"1717686105.013","480",
"1717686105.112","481",
"1717686105.213","481",
"1717686105.313","482",
"1717686105.413","479",
"1717686105.512","479",
"1717686105.612","481",
"1717686105.712","481",
"1717686105.812","482",
"1717686105.913","482",
"1717686106.013","482",
"1717686106.113","485",
"1717686106.212","482",
"1717686106.312","481",
"1717686106.412","482",
"1717686106.512","482",
"1717686106.612","481",
"1717686106.712","482",
"1717686106.812","482",
"1717686106.912","481",
"1717686107.013","482",
"1717686107.113","482",
"1717686107.214","477",
"1717686107.313","482",
"1717686107.413","482",
"1717686107.514","480",
"1717686107.613","482",
"1717686107.713","483",
"1717686107.813","482",
"1717686107.913","483",
"1717686108.013","482",
"1717686108.113","483",
"1717686108.213","480",
"1717686108.314","482",
"1717686108.413","480",
"1717686108.513","483",
"1717686108.613","482",
"1717686108.713","483",
"1717686108.813","482",
"1717686108.913","482",
"1717686109.013","482",
"1717686109.113","482",
"1717686109.213","484",
"1717686109.313","482",
"1717686109.413","482",
"1717686109.513","483",
"1717686109.613","482",
"1717686109.713","482",
"1717686109.813","484",
"1717686109.913","482",
"1717686110.013","483",
"1717686110.113","483",
"1717686110.213","483",
"1717686110.313","483",
"1717686110.413","483",
"1717686110.513","483",
"1717686110.613","483",
"1717686110.713","483",
"1717686110.813","483",
"1717686110.913","483",
"1717686111.013","483",
"1717686111.113","488",
"1717686111.214","482",
"1717686111.313","483",
"1717686111.413","482",
"1717686111.513","483",
"1717686111.614","483",
"1717686111.713","485",
"1717686111.813","488",
"1717686111.913","484",
"1717686112.013","481",
"1717686112.113","484",
"1717686112.213","483",
"1717686112.313","484",
"1717686112.413","484",
"1717686112.513","483",
"1717686112.613","483",
"1717686112.713","482",
"1717686112.813","485",
"1717686112.913","484",
"1717686113.013","484",
"1717686113.113","482",
"1717686113.213","484",
"1717686113.314","483",
"1717686113.413","483",
"1717686113.513","484",
"1717686113.613","484",
"1717686113.713","484",
"1717686113.813","485",
"1717686113.913","485",
"1717686114.013","484",
"1717686114.113","485",
"1717686114.213","484",
"1717686114.313","487",
"1717686114.413","485",
"1717686114.513","484",
"1717686114.613","484",
"1717686114.714","485",
"1717686114.813","483",
"1717686114.913","484",
"1717686115.013","484",
"1717686115.113","484",
"1717686115.214","484",
"1717686115.313","485",
"1717686115.413","485",
"1717686115.513","484",
"1717686115.613","485",
"1717686115.713","485",
"1717686115.813","484",
"1717686115.913","485",
"1717686116.013","484",
"1717686116.112","488",
"1717686116.212","485",
"1717686116.313","485",
"1717686116.413","484",
"1717686116.513","483",
"1717686116.613","484",
"1717686116.713","483",
"1717686116.814","485",
"1717686116.913","485",
"1717686117.013","484",
"1717686117.113","484",
"1717686117.213","486",
"1717686117.313","485",
"1717686117.413","486",
"1717686117.513","486",
"1717686117.613","486",
"1717686117.713","486",
"1717686117.814","484",
"1717686117.913","485",
"1717686118.013","485",
"1717686118.113","485",
"1717686118.214","486",
"1717686118.313","485",
"1717686118.414","485",
"1717686118.514","485",
"1717686118.613","484",
"1717686118.713","484",
"1717686118.813","485",
"1717686118.913","486",
"1717686119.013","484",
"1717686119.114","486",
"1717686119.214","485",
"1717686119.313","486",
"1717686119.414","485",
"1717686119.513","486",
"1717686119.613","486",
"1717686119.714","486",
"1717686119.813","485",
"1717686119.913","486",
"1717686120.013","485",
"1717686120.113","487",
"1717686120.213","485",
"1717686120.313","486",
"1717686120.413","486",
"1717686120.513","486",
"1717686120.613","485",
"1717686120.712","486",
"1717686120.813","484",
"1717686120.914","486",
"1717686121.013","487",
"1717686121.113","487",
"1717686121.213","487",
"1717686121.313","486",
"1717686121.413","487",
"1717686121.513","486",
"1717686121.613","486",
"1717686121.713","486",
"1717686121.813","487",
"1717686121.913","486",
"1717686122.014","486",
"1717686122.113","487",
"1717686122.213","488",
"1717686122.313","485",
"1717686122.414","486",
"1717686122.514","486",
"1717686122.613","489",
"1717686122.713","487",
"1717686122.813","487",
"1717686122.913","484",
"1717686123.013","486",
"1717686123.114","485",
"1717686123.213","481",
"1717686123.313","486",
"1717686123.413","486",
"1717686123.514","487",
"1717686123.613","487",
"1717686123.713","486",
"1717686123.813","487",
"1717686123.913","486",
"1717686124.014","487",
"1717686124.113","487",
"1717686124.213","491",
"1717686124.313","488",
"1717686124.413","487",
"1717686124.513","486",
"1717686124.613","489",
"1717686124.713","486",
"1717686124.813","486",
"1717686124.913","487",
"1717686125.013","487",
"1717686125.113","487",
"1717686125.213","488",
"1717686125.313","487",
"1717686125.413","487",
"1717686125.513","487",
"1717686125.613","487",
"1717686125.713","488",
"1717686125.813","487",
"1717686125.913","487",
"1717686126.013","488",
"1717686126.113","486",
"1717686126.213","488",
"1717686126.313","486",
"1717686126.413","487",
"1717686126.514","488",
"1717686126.613","485",
"1717686126.713","490",
"1717686126.813","488",
"1717686126.913","488",
"1717686127.013","486",
"1717686127.113","488",
"1717686127.213","488",
"1717686127.314","488",
"1717686127.413","488",
"1717686127.513","488",
"1717686127.613","488",
"1717686127.714","491",
"1717686127.813","488",
"1717686127.914","488",
"1717686128.013","487",
"1717686128.108","488",
